Estado,Date,Type,INY,EXT
Durango,2020-09-01,CONF,0,287.2496313
Guanajuato,2020-09-01,CONF,0,373.3381712
Guerrero,2020-09-01,CONF,0,0
Hidalgo,2020-09-01,CONF,0,243.9062134
Jalisco,2020-09-01,CONF,0,187.5658954
México,2020-09-01,CONF,0,369.3634053
Michoacán,2020-09-01,CONF,0,153.481735
Morelos,2020-09-01,CONF,0,8.575250317
Nayarit,2020-09-01,CONF,0,0
Nuevo León,2020-09-01,CONF,352.3074955,1151.926818
Oaxaca,2020-09-01,CONF,0,35.74427262
Puebla,2020-09-01,CONF,0,185.6420471
Querétaro,2020-09-01,CONF,0,102.8302028
Quintana Roo,2020-09-01,CONF,0,0
San Luis Potosí,2020-09-01,CONF,0,270.2322395
Sinaloa,2020-09-01,CONF,0,246.1099952
Sonora,2020-09-01,CONF,324.877769,317.7086792
Tabasco,2020-09-01,CONF,48.7952563,381.0134489
Tamaulipas,2020-09-01,CONF,4707.809448,992.2679707
Tlaxcala,2020-09-01,CONF,0,6.059815865
Veracruz,2020-09-01,CONF,174.2002943,897.7807832
Yucatán,2020-09-01,CONF,0,92.03565109
Zacatecas,2020-09-01,CONF,0,11.25998503
Aguascalientes,2020-10-01,CONF,0,13.51568543
Baja California,2020-10-01,CONF,485.383119,481.1574474
Baja California Sur,2020-10-01,CONF,0,0
Campeche,2020-10-01,CONF,0,0.013484546
Coahuila,2020-10-01,CONF,42.38928918,202.9179268
Colima,2020-10-01,CONF,198.6713582,193.0457986
Chiapas,2020-10-01,CONF,753.5735799,62.24864363
Chihuahua,2020-10-01,CONF,1106.684456,481.0365987
Ciudad de México,2020-10-01,CONF,0,0
Durango,2020-10-01,CONF,0,576.5555621
Guanajuato,2020-10-01,CONF,0,358.3046758
Guerrero,2020-10-01,CONF,0,0
Hidalgo,2020-10-01,CONF,0,220.0509497
Jalisco,2020-10-01,CONF,0,206.0027784
México,2020-10-01,CONF,0,357.3814184
