Fecha,Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12,Link13,Link14,Link15,Link16,Link17,Link18,Link19,Link20,Link21,Link22,Link23,Link24,Link25,Link26,Link27,Link28,Link29,Link30,Link31,Link32,Link33,Link34,Link35,Link36,Link37,Link38
2018-10-01,3720.39304,1174.86096,2900.591445,214.114243,853.406987,39.117078,80.415017,104.388362,307.32546,2368.121,19.676,336.943,0.937,0,333.715,0,0,571.824,1263.096049,0.95864,2675.446,1652.554565,1034.575,249.911,185.544,0.301,165.23,90.319,1926.841,770.7364,924.88368,231.22092,5.399311,,770.7364,924.88368,231.22092,4352.903951
2018-11-01,3629.86184,1146.27216,2870.419926,195.376867,830.993404,38.716678,78.316633,99.751112,318.815726,2352.13,12.109,297.937,1.26,0,296.863,0,0,415.829,1023.998208,0,2670.946,1604.28928,1060.23,213.391,162.565,0.278,151.358,91.74,1776.375,710.55,852.66,213.165,4.149119,,710.55,852.66,213.165,4389.001792
2018-12-01,3709.25524,1171.34376,2798.922058,312.178105,909.613176,38.155684,70.764435,90.702639,313.289489,2329.995,20.796,304.991,1.429,0,255.229,0,0,344.501,926.947277,4.285668,2643.284,1768.366188,1176.231,226.483,184.473,0.284,163.858,89.135,1654.589,661.8356,794.20272,198.55068,-20.774576,,661.8356,794.20272,198.55068,4552.052723
2019-01-01,3532.727,1115.598,2859.426577,221.827004,773.08085,40.062719,78.344757,100.461131,312.429086,2389.253,22.039,325.491,1.323,0,359.251,0,0,365.832,1073.935452,1.620954,2701.682,1724.373131,1049.884,298.99,199.716,0.345,175.801,78.01,1701.325,680.53,816.636,204.159,5.9232,,680.53,816.636,204.159,4377.064548
2019-02-01,3700.5502,1168.5948,2796.125924,235.718543,923.748756,41.410123,80.736442,100.958337,324.995054,2306.51,22.35,321.992,2.363,0,362.881,0,0,357.008,1066.593682,0,2631.505,1823.182189,1110.677,334.607,193.934,0.294,180.508,49.292,1694.153,677.6612,813.19344,203.29836,5.974881,,677.6612,813.19344,203.29836,4346.406318
2019-03-01,3691.0502,1165.5948,2735.173506,270.595016,947.03268,45.723932,77.647601,103.252718,333.208697,2244.732,23.46,322.612,1.327,0,368.848,0,0,355.493,1071.739571,0.381936,2577.941,1767.214921,1062.332,318.231,191.246,0.275,177.345,61.518,1643.899,657.5596,789.07152,197.26788,-7.046682,,657.5596,789.07152,197.26788,4308.260429
2019-04-01,3660.36216,1155.90384,2741.49332,250.174175,950.489551,43.591879,77.758097,100.547354,319.639658,2224.987,20.296,304.798,0.929,0,336.69,0,0,330.421,993.134115,7.984952,2544.627,1774.111438,1081.432,343.203,168.357,0.259,164.407,80.071,1584.538,633.8152,760.57824,190.14456,-3.464474,,633.8152,760.57824,190.14456,4295.865885
2019-05-01,3678.91528,1161.76272,2768.450587,273.739397,962.607365,43.684304,76.938492,102.390031,318.383294,2191.771,20.351,321.287,1.1,0,343.877,0,0,347.143,1033.757954,0.14155,2510.154,1841.304327,1121.37,329.653,195.006,0.323,158.317,48.041,1686.956,674.7824,809.73888,202.43472,-0.876466,,674.7824,809.73888,202.43472,4360.242046
2019-06-01,3680.48924,1162.25976,2778.843,259.489,971.182,44.585,72.934,98.814,318.885,2238.103,18.973,329.975,1.402,0,362.781,0,0,347.453,1060.584,0.02,2556.988,1821.146,1093.594,364.016,190.223,0.329,172.984,88.247,1719.728,687.8912,825.46944,206.36736,7.742,,687.8912,825.46944,206.36736,4155.416
2019-07-01,3717.82956,1174.05144,2849.394,312.647,987.253,40.001,71.025,92.734,321.012,2368.486,18.073,313.31,0.503,0,324.04,0,0,316.699,972.625,1.017,2689.498,1817.182,1091.289,353.069,182.815,0.329,189.681,87.056,1575.99,630.396,756.4752,189.1188,-2.305,,630.396,756.4752,189.1188,4444.375
