Date,NER1,NER2,NER3,NER4,NER5
2021-04-10,315319,141826,26,40840,117118
2021-04-11,295291,142547,88,39670,110937
2021-04-12,322775,138980,35793,46355,117362
2021-04-13,334324,139963,36395,45230,116539
2021-04-14,356620,140050,41462,45103,117675
2021-04-15,335244,142216,37934,48114,116495
2021-04-16,348149,140155,36146,46303,117371
2021-04-17,269789,109825,19386,44314,105646
2021-04-18,263362,119945,0,42653,105422
2021-04-19,337392,145784,25,46693,116526
2021-04-20,328866,143533,0,48082,102678
2021-04-21,291447,106721,0,45844,103298
2021-04-22,296840,143908,81,49429,103331
2021-04-23,254830,95820,0,46866,118769
2021-04-24,270157,144213,35,42483,110673
2021-04-25,284627,123057,0,39338,108772
2021-04-26,322081,142030,11546,49624,112808
2021-04-27,302053,140864,7613,48492,116643
2021-04-28,321009,140424,4502,46351,118785
2021-04-29,308580,143231,6714,46878,117679
2021-04-30,274474,140542,34,45622,96213
2021-05-01,273841,135915,0,36412,107954
2021-05-02,284905,132092,0,37282,108904
2021-05-03,303202,141507,9346,44443,132128
2021-05-04,359092,143196,26714,46953,140262
2021-05-05,336614,143985,0,44830,131474
2021-05-06,325438,143462,0,48095,142033
2021-05-07,356148,143712,2524,46615,137501
2021-05-08,334502,140518,19331,37009,125465
2021-05-09,303520,133476,15156,36826,139479
2021-05-10,368378,139919,73727,45941,138781
2021-05-11,402071,140526,71099,45916,140864
2021-05-12,402405,145468,56779,47448,132509
2021-05-13,361780,146149,40371,49578,102734
2021-05-14,332507,144731,32730,46336,93165
2021-05-15,327482,140465,29074,41564,106171
2021-05-16,275238,127513,669,38669,107298
2021-05-17,222363,133565,47206,43641,139755
2021-05-18,415112,129466,42740,43774,118234
2021-05-19,346345,143082,20342,43042,133130
2021-05-20,334240,143084,20288,44598,137748
2021-05-21,346237,142781,19283,42931,139283
2021-05-22,331771,142867,16572,38834,138625
2021-05-23,311717,136323,95,37993,139118
2021-05-24,346740,142604,19703,41539,139294
2021-05-25,340152,140086,20790,44722,128913
2021-05-26,331089,142132,20261,45472,125618
2021-05-27,356233,141025,34136,44856,125908
2021-05-28,374502,140819,64372,44858,138602
2021-05-29,341253,109077,43219,40067,122520
2021-05-30,261199,119477,2519,37530,103425
2021-05-31,318968,137813,21671,46261,123785
2021-06-01,378749,136252,81884,45789,122743
2021-06-02,411325,139229,97808,47002,124158
2021-06-03,420957,141204,88162,46601,124304
2021-06-04,421935,141086,101231,46094,124717
2021-06-05,411597,140050,94028,40874,123067
2021-06-06,349762,104485,82603,35348,114897
2021-06-07,403485,133588,81032,42238,125278
2021-06-08,324508,138474,62910,43418,124788
2021-06-09,366603,139791,61093,41092,124720
2021-06-10,395996,140247,67993,42962,124317
2021-06-11,311428,43539,49989,44122,125756
2021-06-12,265206,97236,22550,39555,125541
2021-06-13,322957,134732,32649,38006,125035
2021-06-14,345905,141077,70620,45399,125962
2021-06-15,372590,140994,67810,45819,126154
2021-06-16,387608,141634,74364,45736,124670
2021-06-17,432171,142914,104011,43091,123794
