Date,TLA1,TLA2,TLA3,TLA4,TLA5,TLA6
2021-04-14,202036,0,0,0,8926,0
2021-04-15,187811,0,0,0,14224,0
2021-04-16,179022,0,0,0,8789,0
2021-04-17,178387,0,0,0,636,0
2021-04-18,177916,0,0,0,471,0
2021-04-19,177478,0,0,0,438,0
2021-04-20,177074,0,0,0,403,0
2021-04-21,176840,0,0,0,234,0
2021-04-22,176559,0,0,0,281,0
2021-04-23,176338,0,0,0,221,0
2021-04-24,175930,0,0,0,408,0
2021-04-25,175501,0,0,0,429,0
2021-04-26,175104,0,0,0,396,0
2021-04-27,174810,0,0,0,294,0
2021-04-28,174556,0,0,0,255,0
2021-04-29,174132,0,0,0,423,0
2021-04-30,173877,0,0,0,255,0
2021-05-01,173647,0,0,0,230,0
2021-05-02,173211,0,0,0,436,0
2021-05-03,172754,0,0,0,457,0
2021-05-04,172556,0,0,0,198,0
2021-05-05,172150,0,0,0,406,0
2021-05-06,171917,0,0,0,234,0
2021-05-07,171770,0,0,0,146,0
2021-05-08,171341,0,0,0,429,0
2021-05-09,170888,0,0,0,453,0
2021-05-10,170656,0,0,0,232,0
2021-05-11,170217,0,0,0,439,0
2021-05-12,169998,0,0,0,219,0
2021-05-13,169696,0,0,0,302,0
2021-05-14,169502,0,0,0,194,0
2021-05-15,169244,0,0,0,258,0
2021-05-16,168797,0,0,0,447,0
2021-05-17,168366,0,0,0,431,0
2021-05-18,168136,0,0,0,231,0
2021-05-19,167700,0,0,0,436,0
2021-05-20,167267,0,0,0,433,0
2021-05-21,166844,0,0,0,423,0
2021-05-22,166673,0,0,0,171,0
2021-05-23,166234,0,0,0,439,0
2021-05-24,166003,0,0,0,231,0
2021-05-25,165797,0,0,0,206,0
2021-05-26,165382,0,0,0,416,0
2021-05-27,164956,0,0,0,425,0
2021-05-28,164509,0,0,0,447,0
2021-05-29,164291,0,0,0,218,0
2021-05-30,163891,0,0,0,400,0
2021-05-31,163627,0,0,0,264,0
2021-06-01,163413,0,0,0,214,0
2021-06-02,163185,0,0,0,228,0
2021-06-03,162728,0,0,0,457,0
2021-06-04,162273,0,0,0,455,0
2021-06-05,161819,0,0,0,454,0
2021-06-06,161391,0,0,0,428,0
2021-06-07,160992,0,0,0,399,0
2021-06-08,160653,0,0,0,339,0
2021-06-09,160345,0,0,0,309,0
2021-06-10,160218,0,0,0,127,0
2021-06-11,159878,0,0,0,340,0
2021-06-12,159453,0,0,0,424,0
2021-06-13,159064,0,0,0,389,0
2021-06-14,158831,0,0,0,233,0
2021-06-15,158407,0,0,0,424,0
2021-06-16,158235,0,0,0,172,0
2021-06-17,157817,0,0,0,418,0
2021-06-18,157670,0,0,0,147,0
2021-06-19,157388,0,0,0,283,0
2021-06-20,157210,0,0,0,178,0
2021-06-21,156872,0,0,0,337,0
2021-06-22,156428,0,0,0,444,0
2021-06-23,155989,0,0,0,439,0
2021-06-24,155792,0,0,0,197,0
2021-06-25,155354,0,0,0,438,0
2021-06-26,154937,0,0,0,416,0
2021-06-27,154616,0,0,0,321,0
2021-06-28,154385,0,0,0,231,0
2021-06-29,154167,0,0,0,218,0
2021-06-30,153973,0,0,0,195,0
2021-07-01,153727,0,0,0,246,0
2021-07-02,153273,0,0,0,454,0
2021-07-03,152843,0,0,0,429,0
2021-07-04,152401,0,0,0,443,0
2021-07-05,152116,0,0,0,285,0
2021-07-06,151699,0,0,0,417,0
2021-07-07,151254,0,0,0,445,0
2021-07-08,150812,0,0,0,442,0
2021-07-09,150401,0,0,0,411,0
2021-07-10,150122,0,0,0,279,0
2021-07-11,150223,0,0,0,0,0
2021-07-12,150311,0,0,0,0,0
2021-07-13,150367,0,0,0,0,0
2021-07-14,150391,0,0,0,0,0
