Date,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12
2019-11-06,1053961,30978,52963,1238,1530,2542,108434,745,108177,525,0,750642
2019-11-07,1034529,31008,58180,1565,3426,2115,111615,984,108242,550,0,728766
2019-11-08,951722,31009,56681,1726,3507,2030,108431,1047,108367,421,0,642374
2019-11-09,940205,30942,44856,1701,4056,2585,96514,972,105554,271,0,646421
2019-11-10,975755,31018,48339,1692,4239,2468,82799,762,100140,421,0,691834
2019-11-11,924464,30986,56318,1801,4586,2020,100665,879,110698,695,0,617650
2019-11-12,1026189,31014,56030,2437,4351,2169,105299,1201,111670,643,0,712616
2019-11-13,1097230,30953,53897,2391,4339,2533,109728,1455,110207,604,0,769641
2019-11-14,1131730,30933,47895,1148,4535,2381,108617,981,108271,603,0,820241
2019-11-15,1104088,30903,49696,1939,4535,1924,108548,1172,108264,497,0,801622
2019-11-16,1013243,30950,47686,1948,4455,2448,94274,1296,92732,254,0,733163
2019-11-17,980879,30982,48826,1827,3944,2144,75668,1229,58746,354,0,752229
2019-11-18,1054734,30995,47679,1438,3900,1997,76522,867,68758,501,0,818411
2019-11-19,1119211,30986,32419,2419,3814,2558,95699,1042,103951,608,0,825100
2019-11-20,1138546,30930,0,2198,4063,2357,108520,1192,109600,585,0,870825
2019-11-21,1107697,30993,0,1951,4035,2481,106539,1005,105569,579,0,851708
2019-11-22,1039227,31097,0,1665,4119,2593,103688,1175,104330,463,0,796239
2019-11-23,1072147,31099,0,1550,3817,2512,98796,677,106372,174,0,824528
2019-11-24,1078955,31083,0,1692,3976,2106,94714,972,96505,344,0,839037
2019-11-25,1039749,31073,0,2011,3988,2399,114450,1018,106750,516,0,801632
2019-11-26,1123536,31142,0,2115,3372,2124,110296,1006,108865,614,0,851080
2019-11-27,1107668,30954,0,1988,3024,2577,108622,1111,113672,531,0,856301
2019-11-28,1114622,31043,0,1741,3117,2596,106837,891,107962,539,0,860488
2019-11-29,1145927,31066,0,1880,3077,2606,105893,1019,103456,391,0,869278
2019-11-30,1063945,31085,0,2232,3366,2463,93432,1073,98487,286,0,831872
2019-12-01,1099558,31075,0,1922,3486,2516,92858,1136,98445,490,0,851058
2019-12-02,1051012,31045,0,2379,4007,2291,109791,1422,107278,662,0,801082
2019-12-03,1098981,31095,0,2765,3572,2160,117760,1434,108815,657,0,825568
2019-12-04,1129754,31039,0,2878,1542,2575,113122,1453,108853,683,0,851788
2019-12-05,1133647,31084,0,3518,3644,2595,113688,1469,108822,821,0,846680
2019-12-06,1114869,31043,0,2547,4151,2591,112912,1456,113644,621,0,839432
2019-12-07,1026955,31105,0,2901,4175,2506,106364,1416,98595,462,0,777072
2019-12-08,1038180,31106,0,3087,4287,2484,91486,1506,99248,532,0,769642
2019-12-09,1020646,35911,0,2967,4340,2106,114118,1421,108794,633,0,747273
2019-12-10,1094769,36269,0,2768,4024,2218,109310,1154,108798,810,0,816102
2019-12-11,1099504,35606,0,2845,4149,2538,110590,1526,108015,527,0,826445
2019-12-12,1097750,31103,0,2985,4436,2688,85819,1317,96400,441,0,831346
2019-12-13,1000545,31001,0,3602,3786,2716,109502,1464,108763,573,0,726979
2019-12-14,1006590,31079,0,3667,3411,2727,100578,1219,106732,278,0,733901
2019-12-15,1035676,31082,0,3230,3598,2632,93911,1399,98259,491,0,787358
2019-12-16,967553,31023,0,3523,4184,2299,115683,998,113871,706,0,705551
2019-12-17,1076602,31042,2262,3812,4501,2284,114357,1571,114016,683,0,783246
2019-12-18,1080793,31133,3646,4864,4605,2570,119159,3182,113910,1008,0,800201
2019-12-19,1052097,42969,1175,3546,3909,2509,115540,1830,110428,830,0,775436
2019-12-20,1084725,41440,0,3805,4317,2495,101107,1816,103613,506,0,816734
