Date,MYK1,MYK2,MYK3,MYK4,MYK5,MYK6,MYK8,MYK9,MYK10,MYK11,MYK12,MYK15,MYK16,MYK18
2019-08-01,79840,0,0,26638,0,46925,8480,909,1302,670,940,0,0,215
2019-08-02,65535,0,0,26517,0,28193,7923,894,1152,564,2081,0,0,283
2019-08-03,70437,0,0,26525,0,29036,6434,887,288,358,2039,0,0,833
2019-08-04,77919,0,0,26681,0,28059,7865,641,245,79,2047,0,0,821
2019-08-05,76896,0,0,26711,0,33490,8382,869,1217,628,1927,0,0,932
2019-08-06,66982,0,0,26744,0,35357,7146,874,1247,663,1852,0,0,654
2019-08-07,76254,0,0,26784,0,34246,7166,880,1238,587,1941,0,0,502
2019-08-08,89568,245,0,26603,0,38406,7421,865,1321,533,2056,0,0,541
2019-08-09,59906,374,0,26627,0,38052,7081,853,1161,658,2103,0,0,995
2019-08-10,77049,327,0,26666,0,40451,6919,879,267,334,2016,0,0,337
2019-08-11,72470,364,0,26714,0,36537,6654,619,253,44,2099,0,0,274
2019-08-12,77471,366,0,26809,0,28566,6004,882,1682,656,1935,0,0,580
2019-08-13,92196,54,0,26623,0,28124,6061,888,1857,700,1958,0,0,455
2019-08-14,72012,0,0,28254,0,36643,5963,914,1306,693,2092,0,0,337
2019-08-15,77146,0,0,26772,0,36784,7351,910,770,696,1945,0,0,746
2019-08-16,67679,0,0,26806,0,38163,7348,884,1163,708,1903,0,0,363
2019-08-17,61506,0,0,26740,0,28208,6724,871,329,300,1904,0,0,781
2019-08-18,61546,0,0,26502,0,28423,7681,620,283,62,1711,0,0,663
2019-08-19,54921,0,0,26657,0,37516,8132,890,1307,661,0,0,0,628
2019-08-20,62506,0,0,26624,0,28235,8030,910,1301,708,0,0,0,754
2019-08-21,69412,0,0,26639,0,28150,8197,895,1285,682,0,0,0,735
2019-08-22,69765,0,0,26859,0,28077,8896,887,1033,763,0,0,0,735
2019-08-23,90465,0,0,11105,0,40018,8519,889,907,768,0,0,0,463
2019-08-24,50561,0,0,0,0,31592,8138,841,307,480,0,0,0,775
2019-08-25,55608,0,0,0,0,33919,7745,648,701,72,0,0,0,935
2019-08-26,72963,0,0,0,0,64213,7290,916,909,704,0,0,0,1069
