Date,TOP1
2020-12-29,75.691902
2020-12-30,115.839698
2020-12-31,104.052157
2021-01-01,103.659316
2021-01-02,111.188933
2021-01-03,103.147854
2021-01-04,110.196873
2021-01-05,109.081671
2021-01-06,106.395391
2021-01-07,108.713869
2021-01-08,106.93288
2021-01-09,111.615852
2021-01-10,104.336193
2021-01-11,113.965584
2021-01-12,110.263335
2021-01-13,115.088272
2021-01-14,113.697616
2021-01-15,109.202448
2021-01-16,109.049217
2021-01-17,111.068828
2021-01-18,104.956247
2021-01-19,122.870353
2021-01-20,121.83973
2021-01-21,117.772999
2021-01-22,109.631203
2021-01-23,105.212455
2021-01-24,105.020838
2021-01-25,110.734009
2021-01-26,101.493644
2021-01-27,108.883097
2021-01-28,108.444136
2021-01-29,102.433191
2021-01-30,84.686936
2021-01-31,101.250715
2021-02-01,114.096248
2021-02-02,109.232783
2021-02-03,110.842425
2021-02-04,114.383462
2021-02-05,99.95004
2021-02-06,104.507504
2021-02-07,104.393402
2021-02-08,105.21807
2021-02-09,104.207329
2021-02-10,110.699754
2021-02-11,107.768531
2021-02-12,110.163501
2021-02-13,108.646348
2021-02-14,92.713641
2021-02-15,0.757747
2021-02-16,3.201804
2021-02-17,0
2021-02-18,0
2021-02-19,31.967683
2021-02-20,91.825513
2021-02-21,100.914731
2021-02-22,100.989104
2021-02-23,109.167451
2021-02-24,107.991331
2021-02-25,110.916763
2021-02-26,123.041806
2021-02-27,118.088359
2021-02-28,113.613249
2021-03-01,113.794802
2021-03-02,113.250992
2021-03-03,108.355213
2021-03-04,109.951083
2021-03-05,107.020672
2021-03-06,101.018274
2021-03-07,99.501262
2021-03-08,110.58431
2021-03-09,109.747282
2021-03-10,110.579649
2021-03-11,108.017994
2021-03-12,108.084421
2021-03-13,107.217375
2021-03-14,114.026078
2021-03-15,112.141228
2021-03-16,104.011192
2021-03-17,109.938441
2021-03-18,103.200367
2021-03-19,100.705456
2021-03-20,105.448781
2021-03-21,99.062653
2021-03-22,113.291427
2021-03-23,105.630228
2021-03-24,112.019004
2021-03-25,101.769558
2021-03-26,112.049057
2021-03-27,106.947394
2021-03-28,102.630318
2021-03-29,105.187099
2021-03-30,112.009787
2021-03-31,110.967227
2021-04-01,108.225255
2021-04-02,99.433175
2021-04-03,97.007481
2021-04-04,105.958478
2021-04-05,111.780877
2021-04-06,125.004525
2021-04-07,101.12443
2021-04-08,134.190964
2021-04-09,110.903873
2021-04-10,116.798632
2021-04-11,111.881913
2021-04-12,130.57725
2021-04-13,117.172438
2021-04-14,114.590194
2021-04-15,111.926021
2021-04-16,116.290666
2021-04-17,121.929959
2021-04-18,116.466568
2021-04-19,135.571167
2021-04-20,133.95817
2021-04-21,131.849355
2021-04-22,129.074999
2021-04-23,119.671834
2021-04-24,101.691866
2021-04-25,116.751346
2021-04-26,120.343165
2021-04-27,135.391486
2021-04-28,140.23175
2021-04-29,124.322104
2021-04-30,129.571665
2021-05-01,33.118906
2021-05-02,98.670908
2021-05-03,99.544663
2021-05-04,118.120319
2021-05-05,122.278091
2021-05-06,114.222321
2021-05-07,70.272548
2021-05-08,69.338864
2021-05-09,68.548592
2021-05-10,68.813276
2021-05-11,68.963222
2021-05-12,69.875364
2021-05-13,69.618591
2021-05-14,69.375626
2021-05-15,68.951285
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,113.870411
2021-06-02,133.885457
2021-06-03,116.901716
2021-06-04,115.538075
2021-06-05,119.215462
2021-06-06,114.679258
2021-06-07,125.758175
2021-06-08,114.63515
2021-06-09,120.900607
2021-06-10,123.864532
2021-06-11,76.905526
2021-06-12,76.905526
2021-06-13,94.558232
2021-06-14,114.307006
2021-06-15,113.749493
2021-06-16,114.101227
2021-06-17,116.116918
2021-06-18,114.843083
2021-06-19,114.879704
2021-06-20,114.991404
2021-06-21,115.640523
2021-06-22,115.011145
2021-06-23,115.239419
2021-06-24,113.933342
2021-06-25,115.266753
2021-06-26,103.567957
2021-06-27,108.713799
2021-06-28,117.958437
2021-06-29,117.342196
2021-06-30,117.188895
2021-07-01,116.833276
2021-07-02,115.716591
2021-07-03,116.943952
2021-07-04,118.187664
2021-07-05,120.222283
2021-07-06,114.328442
2021-07-07,129.587203
2021-07-08,127.571407
2021-07-09,123.815303
2021-07-10,115.641688
2021-07-11,105.884741
2021-07-12,113.061493
2021-07-13,116.255563
2021-07-14,124.641101
2021-07-15,115.969726
2021-07-16,121.061007
2021-07-17,115.926466
2021-07-18,118.273655
2021-07-19,117.500158
2021-07-20,125.594138
2021-07-21,112.683803
2021-07-22,112.395494
2021-07-23,106.733281
2021-07-24,113.34168
2021-07-25,101.785838
2021-07-26,115.189378
2021-07-27,134.612092
2021-07-28,84.807253
2021-07-29,74.306755
2021-07-30,108.934445
2021-07-31,121.914491
2021-08-01,122.57
2021-08-02,133.05
2021-08-03,139.71
2021-08-04,133.54
2021-08-05,132.73
2021-08-06,132.08
2021-08-07,103.02
2021-08-08,121.83
2021-08-09,133.28
2021-08-10,124.24
2021-08-11,121.58
2021-08-12,117.16
2021-08-13,119.93
2021-08-14,114.09
2021-08-15,123.19
