"","Date","CHI_III","GAD_CHI","GAD_JUA","KM_Hueco","SIS","SMY_BRN","SMY_I","SMY_II"
"160",2024-07-02,32.2468766963,60.5546458105,22.6224908759,230.8371498378,24.8907893716,0,47.4054644684,90.2317424172
"161",2024-07-03,48.0210703188,58.1646881733,22.7862451398,174.9005720316,21.8735367183,0,41.3745965759,20.2534042264
"162",2024-07-04,49.1585568058,58.3546459446,18.4995349656,241.157729654,23.1687386555,0,41.5183627196,89.4540420938
"163",2024-07-05,49.1404403647,50.1429540683,18.4829370566,240.1901421887,14.6310214688,0,41.4864029161,88.479215115
"164",2024-07-06,49.3069491752,58.5310428711,18.5560384856,223.5477366667,19.9125114273,0,27.7613094464,83.2769713433
"165",2024-07-07,49.0676920827,58.2561532463,18.4584992842,234.798258478,19.9124407979,0,36.8759275723,84.640507225
"166",2024-07-08,49.0743312463,58.2517389088,18.4735433464,213.8414207423,19.9822226451,0,13.8138746255,87.250969849
"167",2024-07-09,49.0160266766,58.1730577572,22.7974752144,235.0945134963,21.9235423335,0,36.8107013214,89.2414829145
"168",2024-07-10,51.0056215599,65.4590100877,25.224937063,221.6172585912,47.3446172403,0,59.8279399139,59.6319433289
"169",2024-07-11,51.0503299701,58.2860647972,22.8380518047,252.1270758239,25.2095398538,0,36.8655450505,100.4468019098
"170",2024-07-12,0,0,0,0,0,0,0,0
"171",2024-07-13,0,0,0,0,0,0,0,0
"172",2024-07-14,51.1429604282,58.3955050525,18.506315388,247.760519113,12.0339784308,0,36.937057318,87.7440336904
"173",2024-07-15,50.0806236228,63.3275913692,18.5210769326,228.2721372327,31.4568515426,0,47.8328429678,98.501173828
"174",2024-07-16,50.234807603,66.2919072872,25.3308105336,185.0387161076,111.8195832125,0,46.2020101218,107.2797372687
"175",2024-07-17,50.0931603413,63.169875919,20.4094952004,240.6654074213,46.6684819941,0,42.4279281328,103.3065510011
"176",2024-07-18,50.1897460458,63.3020235264,24.3438706127,245.0328823144,56.6213651539,0,64.6560950685,91.4419771862
"177",2024-07-19,50.0200589123,63.0750206348,20.8892807146,243.1630042641,43.51124187,0,53.4242547335,91.1936442158
"178",2024-07-20,49.963943854,58.1400385127,18.436039135,255.259948805,14.872079611,0,46.0108516507,89.2387283679
"179",2024-07-21,49.9787407133,58.1586493596,18.4327195532,231.4277528806,23.3264541057,0,43.1932329965,100.1460266099
"180",2024-07-22,50.2257317251,66.2678579765,18.5296584047,204.451277327,58.1846056641,0,52.6942998845,89.679561768
"181",2024-07-23,50.2352313794,58.4674764111,22.8922598692,178.7552068513,94.3978528909,0,52.7293320669,87.7815379018
"182",2024-07-24,40.5179325833,58.5451334364,21.9595633275,173.410362321,98.0289809743,0,52.7610093528,91.5960199076
"183",2024-07-25,50.3323468044,58.5619079189,21.9630241681,167.0508558303,109.1372904887,0,50.9578054561,88.5606508132
"184",2024-07-26,50.0456267551,58.2348937969,20.8932006463,244.0255304969,32.4432264283,0,50.6690724689,88.7041344393
"185",2024-07-27,48.4187844702,58.0291503547,18.399664994,252.9337342013,20.2817266158,0,50.4656951116,89.0864513815
"186",2024-07-28,48.1111581185,57.6592288722,18.2681883659,251.6480319184,15.1073814571,0,45.5692413272,86.6759405889
"187",2024-07-29,48.1383857522,62.5318452341,18.2842565544,240.3100355952,48.6256226681,0,61.1073914949,97.5655814809
"188",2024-07-30,49.0912116729,57.6681281766,22.5354048257,250.0581288097,14.0127670159,0,45.6259920501,88.6121749605
"189",2024-07-31,48.5574652971,57.6666449592,22.578100298,245.9037428164,22.0381032203,0,50.0737019416,88.194225486
"190",2024-08-01,0,0,0,0,0,0,0,0
"191",2024-08-02,0,0,0,0,0,0,0,0
"192",2024-08-03,0,0,0,0,0,0,0,0
"193",2024-08-04,49.1931298971,57.3798189658,18.5115772783,135.029993214,113.2823180865,0,27.695906622,89.5850243161
"194",2024-08-05,48.9573689599,62.3165668229,18.329035594,199.0593936163,48.9950144301,0,27.748525525,83.3518385073
"195",2024-08-06,49.7303371135,54.7527584328,20.7137313409,178.5211410197,74.5912502489,0,37.5525219096,88.9211432708
"196",2024-08-07,49.5512915845,62.4571546436,23.5339632829,237.317609176,36.1823468643,0,39.2118890332,88.0469985017
"197",2024-08-08,50.305083856,62.7673942831,22.724303156,195.2382371322,83.2478367158,0,45.8309938836,87.9538736378
"198",2024-08-09,50.5591024931,62.4295738629,19.7155966601,158.6548565347,122.2819162345,0,50.5778192841,89.1325723797
"199",2024-08-10,49.046114801,56.9025054806,18.3495887494,195.2145409685,53.5893156413,0,27.4892449976,88.8869586412
