Date,FPO1001,FPO1002,FPO2001,FPO2004,FPO2007,FPO2008
2021-08-02,509739,0,185128,210549,0,131468
2021-08-03,576983,0,233355,227743,0,123196
2021-08-04,591898,0,247816,233861,0,121608
2021-08-05,540299,0,206537,229686,0,82123
2021-08-06,530846,0,224311,229164,0,83125
2021-08-07,482154,0,205292,183122,0,82386
2021-08-08,409825,0,183611,118154,0,121346
2021-08-09,442629,0,184300,141842,0,122215
2021-08-10,430133,0,181214,141463,0,103445
2021-08-11,443810,0,181957,197745,0,82813
2021-08-12,477862,0,182220,223955,0,71911
2021-08-13,456612,0,181420,211268,0,73790
2021-08-14,453481,0,180788,186191,0,82686
2021-08-15,350883,0,180569,125357,0,0
2021-08-16,545992,0,252368,207252,0,0
2021-08-17,626213,0,297657,220461,0,0
2021-08-18,615811,0,307956,211905,0,0
2021-08-19,597315,0,316189,211418,0,0
2021-08-20,651710,0,300640,230115,0,0
2021-08-21,648105,0,356986,204467,0,0
2021-08-22,520366,0,227241,165883,0,0
2021-08-23,557356,0,290676,191785,0,0
2021-08-24,697331,0,308420,270847,0,0
2021-08-25,616693,0,298786,235732,0,0
2021-08-26,702064,0,367372,245700,0,0
2021-08-27,687379,0,363896,190083,0,0
2021-08-28,519114,0,213930,222017,0,0
2021-08-29,516179,0,217922,212383,0,0
2021-08-30,584459,0,302580,212675,0,0
2021-08-31,,,,,,
2021-09-01,587161,0,280228,176045,0,132232
2021-09-02,485465,0,295420,139375,0,71797
2021-09-03,550304,0,234366,218548,0,89748
2021-09-04,474982,0,228762,174763,0,69698
2021-09-05,462635,0,227863,181792,0,70048
2021-09-06,499003,0,208136,193270,0,113363
2021-09-07,543292,0,233021,237742,0,81011
2021-09-08,557301,0,230223,239301,0,87861
2021-09-09,547393,0,231938,233104,0,90692
2021-09-10,557904,0,232972,239334,0,88990
2021-09-11,513680,0,228440,197713,0,88881
2021-09-12,466378,0,181347,203717,0,88837
2021-09-13,506498,0,185542,205450,0,116715
2021-09-14,597861,0,281787,216884,0,116785
2021-09-15,576958,0,204067,258272,0,116710
2021-09-16,580631,0,229295,266168,0,88505
2021-09-17,529534,0,248843,230511,0,52827
2021-09-18,570776,0,262075,234762,0,98852
2021-09-19,569263,0,224102,235079,0,109860
2021-09-20,594284,0,273121,234817,0,115182
2021-09-21,679796,0,303226,272799,0,115758
2021-09-22,700045,0,323270,270971,0,115823
2021-09-23,647644,0,238971,287085,0,88019
2021-09-24,532207,0,186762,246158,0,88599
2021-09-25,489277,0,132277,258344,0,114162
2021-09-26,407874,0,134528,186169,0,88891
2021-09-27,549758,0,194158,262399,0,116314
2021-09-28,,,198532,290588,,
2021-09-29,,,189398,272547,,
